"행정동_코드_명","유동인구_30대비율","상주인구_30대비율","유동인구_순위","상주인구_순위","전체_행정동_수","구분_강조"
용산2가동,20.78,16.64,62,151,397,기타
가리봉동,20.78,13.80,63,262,397,기타
신원동,20.76,19.69,64,78,397,기타
황학동,20.73,22.13,65,46,397,기타
화곡6동,20.66,22.83,66,39,397,기타
중앙동,20.64,21.01,67,66,397,기타
을지로동,20.58,24.27,68,23,397,기타
성수2가1동,20.51,16.42,69,159,397,기타
대학동,20.50,24.26,70,24,397,기타
서초3동,20.48,19.04,71,89,397,기타
사당1동,20.41,21.14,72,65,397,기타
서림동,20.39,23.25,73,33,397,기타
상봉2동,20.35,21.21,74,62,397,기타
성수1가1동,20.35,17.04,75,140,397,기타
도곡2동,20.32,15.74,76,190,397,기타
인헌동,20.29,21.93,77,53,397,기타
중곡1동,20.27,19.31,78,83,397,기타
청룡동,20.21,24.81,79,21,397,기타
용문동,20.15,19.29,80,85,397,기타
문래동,20.13,20.02,81,75,397,기타
노량진1동,19.95,22.96,82,36,397,기타
화곡1동,19.81,20.85,83,68,397,기타
낙성대동,19.76,22.88,84,38,397,기타
목2동,19.76,20.80,85,69,397,기타
송정동,19.74,16.18,86,174,397,기타
등촌2동,19.72,18.49,87,103,397,기타
성산1동,19.71,17.80,88,111,397,기타
구로5동,19.66,21.67,89,57,397,기타
신당동,19.64,17.32,90,129,397,기타
보라매동,19.63,17.71,91,113,397,기타
종로1·2·3·4가동,19.58,13.68,92,269,397,기타
잠실본동,19.57,22.05,93,48,397,기타
서초1동,19.53,18.90,94,94,397,기타
군자동,19.44,21.38,95,60,397,기타
서강동,19.43,23.93,96,27,397,기타
아현동,19.38,19.31,97,84,397,기타
대치2동,19.37,11.07,98,375,397,기타
장안1동,19.26,17.39,99,123,397,기타
